year,dx
200602,4343
200603,1419
200604,1376
200605,1250
200606,1449
200607,1858
200608,1989
200609,2176
200610,2639
200611,2470
200612,2347
200701,3016
200702,2949
200703,3519
200704,3502
200705,4228
200706,3935
200707,4226
200708,4590
200709,4173
200710,4422
200711,16864
200712,34414
200801,11770
200802,6496
200803,4744
200804,6818
200805,6515
200806,7486
200807,6789
200808,5690
200809,5443
200810,5773
200811,5594
200812,6900
200901,5621
200902,5517
200903,5791
200904,10557
200905,8439
200906,6200
200907,7820
200908,5246
200909,5429
200910,6510
200911,6357
200912,6379
201001,6116
201002,5158
201003,7205
201004,6470
201005,6690
201006,6511
201007,6195
201008,6267
201009,6766
201010,7350
201011,7731
201012,9041
201101,7274
201102,6115
201103,8376
201104,8346
201105,8713
201106,7556
201107,6176
201108,6697
201109,7741
201110,7713
201111,7046
201112,7474
201201,6839
201202,6514
201203,7454
201204,9146
201205,8210
201206,6869
201207,7356
201208,6812
201209,6280
201210,7265
201211,8389
201212,7657
201301,7777
201302,7294
201303,9719
201304,9284
201305,8565
201306,7056
201307,6850
201308,6371
201309,6529
201310,8217
201311,10005
201312,8838
201401,9066
201402,7179
201403,7598
201404,8258
201405,10366
201406,6553
201407,6439
201408,8477
201409,7105
201410,7946
201411,11540
201412,8199
201501,7692
201502,10355
201503,11667
201504,11483
201505,11015
201506,9009
201507,9108
201508,32745
201509,15594
201510,8988
201511,12172
201512,12257
201601,12527
201602,11832
201603,11394
201604,10982
201605,14729
201606,10668
201607,11537
201608,9534
201609,8259
201610,9345
201611,11499
201612,14723
201701,12205
201702,10851
201703,13469
201704,13137
201705,11720
201706,8569
201707,8403
201708,9859
201709,10908
201710,11332
201711,13252
201712,12237
201801,10733
201802,12034
201803,15640
201804,13684
201805,12794
201806,10856
201807,10037
201808,10576
201809,10514
201810,12713
201811,15211
201812,13941
201901,12965
201902,14069
201903,15233
201904,14482
201905,15885
201906,12667
201907,13331
201908,11677
201909,11004
201910,13524
201911,15560
201912,19076
202001,14535
202002,14601
202003,17085
202004,23242
202005,22149
202006,14603
202007,13500
202008,14312
202009,13484
202010,15972
202011,18201
202012,20654
202101,13544
202102,12529
202103,15443
202104,16563
202105,16584
202106,13245
202107,13270
202108,11952
202109,11814
202110,13405
202111,15112
202112,14727
202201,12802

