year,filter,xlnx fitting
200602,4343,
200603,5762,
200604,7138,
200605,8388,
200606,9837,
200607,11695,
200608,13684,
200609,15860,
200610,18499,
200611,20969,
200612,23316,
200701,26332,
200702,29281,
200703,32800,
200704,36302,
200705,40530,
200706,44465,
200707,48691,
200708,53281,
200709,57454,
200710,61876,
200711,78740,
200712,113154,
200801,124924,281988.6121
200802,131420,271296.8583
200803,136164,263367.8548
200804,142982,257232.9851
200805,149497,252432.2211
200806,156983,248694.6123
200807,163772,245841.1235
200808,169462,243744.5071
200809,174905,242309.6204
200810,180678,241462.6134
200811,186272,241144.49
200812,193172,241307.0299
200901,198793,241910.0806
200902,204310,242919.6865
200903,210101,244306.7567
200904,220658,246046.0881
200905,229097,248115.6346
200906,235297,250495.9488
200907,243117,253169.7474
200908,248363,256121.5691
200909,253792,259337.501
200910,260302,262804.9565
200911,266659,266512.4948
200912,273038,270449.6706
201001,279154,274606.9102
201002,284312,278975.4061
201003,291517,283547.029
201004,297987,288314.2522
201005,304677,293270.087
201006,311188,298408.0268
201007,317383,303721.9992
201008,323650,309206.3238
201009,330416,314855.6752
201010,337766,320665.0511
201011,345497,326629.7436
201012,354538,332745.3137
201101,361812,339007.5693
201102,367927,345412.545
201103,376303,351956.4842
201104,384649,358635.8228
201105,393362,365447.1751
201106,400918,372387.3207
201107,407094,379453.1925
201108,413791,386641.866
201109,421532,393950.5499
201110,429245,401376.5767
201111,436291,408917.3953
201112,443765,416570.5627
201201,450604,424333.7381
201202,457118,432204.676
201203,464572,440181.221
201204,473718,448261.3021
201205,481928,456442.9278
201206,488797,464724.1821
201207,496153,473103.2198
201208,502965,481578.2628
201209,509245,490147.5965
201210,516510,498809.5665
201211,524899,507562.5756
201212,532556,516405.0804
201301,540333,525335.5893
201302,547627,534352.6595
201303,557346,543454.8946
201304,566630,552640.9428
201305,575195,561909.4944
201306,582251,571259.2799
201307,589101,580689.0685
201308,595472,590197.666
201309,602001,599783.9133
201310,610218,609446.6851
201311,620223,619184.888
201312,629061,628997.4595
201401,638127,638883.3668
201402,645306,648841.605
201403,652904,658871.1968
201404,661162,668971.1907
201405,671528,679140.6603
201406,678081,689378.7032
201407,684520,699684.4403
201408,692997,710057.0146
201409,700102,720495.5906
201410,708048,730999.3535
201411,719588,741567.5082
201412,727787,752199.279
201501,735479,762893.9083
201502,745834,773650.6567
201503,757501,784468.8019
201504,768984,795347.638
201505,779999,806286.4754
201506,789008,817284.64
201507,798116,828341.4724
201508,830861,839456.3279
201509,846455,850628.5759
201510,855443,861857.5992
201511,867615,873142.7937
201512,879872,884483.5682
201601,892399,895879.3437
201602,904231,907329.5532
201603,915625,918833.6412
201604,926607,930391.0634
201605,941336,942001.2864
201606,952004,953663.7876
201607,963541,965378.0543
201608,973075,977143.5839
201609,981334,988959.8835
201610,990679,1000826.47
201611,1002178,1012742.868
201612,1016901,1024708.613
201701,1029106,1036723.247
201702,1039957,1048786.322
201703,1053426,1060897.398
201704,1066563,1073056.042
201705,1078283,1085261.83
201706,1086852,1097514.344
201707,1095255,1109813.174
201708,1105114,1122157.918
201709,1116022,1134548.18
201710,1127354,1146983.571
201711,1140606,1159463.707
201712,1152843,1171988.214
201801,1163576,1184556.722
201802,1175610,1197168.866
201803,1191250,1209824.29
201804,1204934,1222522.641
201805,1217728,1235263.573
201806,1228584,1248046.746
201807,1238621,1260871.823
201808,1249197,1273738.476
201809,1259711,1286646.38
201810,1272424,1299595.213
201811,1287635,1312584.663
201812,1301576,1325614.419
201901,1314541,1338684.175
201902,1328610,1351793.63
201903,1343843,1364942.489
201904,1358325,1378130.459
201905,1374210,1391357.254
201906,1386877,1404622.588
201907,1400208,1417926.184
201908,1411885,1431267.766
201909,1422889,1444647.062
201910,1436413,1458063.806
201911,1451973,1471517.733
201912,1471049,1485008.583
202001,1485584,1498536.101
202002,1500185,1512100.032
202003,1517270,1525700.128
202004,1540512,1539336.143
202005,1562661,1553007.833
202006,1577264,1566714.961
202007,1590764,1580457.288
202008,1605076,1594234.583
202009,1618560,1608046.614
202010,1634532,1621893.156
202011,1652733,1635773.984
202012,1673387,1649688.876
202101,1686931,1663637.615
202102,1699460,1677619.984
202103,1714903,1691635.772
202104,1731466,1705684.767
202105,1748050,1719766.763
202106,1761295,1733881.554
202107,1774565,1748028.937
202108,1786517,1762208.714
202109,1798331,1776420.685
202110,1811736,1790664.657
202111,1826848,1804940.437
202112,1841575,1819247.833
202201,1854377,1833586.658
202202,1854679,1847956.726
