year,dx,count,2dx,3dx,4dx,fitting_1,fitting_2
1970,6428,136249,472,176,193,150100,
1971,6587,142836,159,-313,-489,150565.6854,
1972,6991,149827,404,245,558,151558.8457,
1973,7392,157219,401,-3,-248,153200,
1974,7491,164710,99,-302,-299,155590.1699,
1975,8485,173195,994,895,1197,158818.1631,
1976,8669,181864,184,-810,-1705,162964.1814,
1977,8813,190677,144,-40,770,168101.9336,
1978,9396,200073,583,439,479,174300,
1979,9944,210017,548,-35,-474,181622.7766,
1980,10384,220401,440,-108,-73,190131.16,
1981,10723,231124,339,-101,7,199883.0633,
1982,11208,242332,485,146,247,210933.8166,
1983,11635,253967,427,-58,-204,223336.4848,
1984,12681,266648,1046,619,677,237142.1253,
1985,13278,279926,597,-449,-1068,252400,
1986,14144,294070,866,269,718,269157.7526,
1987,15226,309296,1082,216,-53,287461.5583,
1988,16248,325544,1022,-60,-276,307356.2519,
1989,17187,342731,939,-83,-23,328885.4382,
1990,19028,361759,1841,902,985,352091.5881,
1991,20064,381823,1036,-805,-1707,377016.1228,
1992,21937,403760,1873,837,1642,403699.4876,
1993,23182,426942,1245,-628,-1465,432181.2184,
1994,25373,452315,2191,946,1574,462500,
1995,28278,480593,2905,714,-232,494693.7191,
1996,30291,510884,2013,-892,-1606,528799.5116,
1997,33373,544257,3082,1069,1961,564853.8056,
1998,36860,581117,3487,405,-664,602892.3603,
1999,39897,621014,3037,-450,-855,642950.3018,
2000,45030,666044,5133,2096,2546,685062.1553,
2001,47660,713704,2630,-2503,-4599,729261.8751,
2002,53235,766939,5575,2945,5448,775582.8722,
2003,56161,823100,2926,-2649,-5594,824058.039,
2004,60298,883398,4137,1211,3860,874719.7734,
2005,64081,947479,3783,-354,-1565,927600,944324.1801
2006,69611,1017090,5530,1747,2101,,1014436.328
2007,71525,1088615,1914,-3616,-5363,,1084907.671
2008,70218,1158833,-1307,-3221,395,,1155094.579
2009,71277,1230110,1059,2366,5587,,1224711.439
2010,69818,1299928,-1459,-2518,-4884,,1293635.478
2011,68829,1368757,,,,,1361822.781
2012,68993,1437750,,,,,1429268.985
2013,68438,1506188,,,,,1495989.721
2014,65371,1571559,,,,,1562010.448
2015,62976,1634535,,,,,1627361.006
2016,58415,1692950,,,,,1692072.658
2017,55338,1748288,,,,,1756176.477
2018,45655,1793943,,,,,1819702.491
2019,39794,1833737,,,,,1882679.252
2020,20933,1854670,,,,,1945133.651
2021,9,1854679,,,,,2007090.871

