year,count,fitting
1970,136249,140105
1971,142836,140593.9697
1972,149827,141636.788
1973,157219,143360
1974,164710,145869.6784
1975,173195,149259.0712
1976,181864,153612.3905
1977,190677,159007.0303
1978,200073,165515
1979,210017,173203.9154
1980,220401,182137.718
1981,231124,192377.2164
1982,242332,203980.5074
1983,253967,217003.309
1984,266648,231499.2316
1985,279926,247520
1986,294070,265115.6402
1987,309296,284334.6362
1988,325544,305224.0645
1989,342731,327829.7101
1990,361759,352196.1676
1991,381823,378366.9289
1992,403760,406384.462
1993,426942,436290.2793
1994,452315,468125
1995,480593,501928.4051
1996,510884,537739.4872
1997,544257,575596.4959
1998,581117,615536.9783
1999,621014,657597.8168
2000,666044,701815.263
2001,713704,748224.9689
2002,766939,796862.0158
2003,823100,847760.941
2004,883398,900955.7621
2005,947479,956480
2006,1017090,1014366.7
2007,1088615,1074648.451
2008,1158833,1137357.405
2009,1230110,1202525.294
2010,1299928,1270183.444
2011,1368757,1340362.792
2012,1437750,1413093.902
2013,1506188,1488406.975
2014,1571559,1566331.861
2015,1634535,1646898.076
2016,1692950,1730134.806
2017,1748288,1816070.925
2018,1793943,1904735
2019,1833737,1996155.301
2020,1854670,2090359.811
2021,1854679,2187376.236
