year,Geology,Geography,Psychology,Philosophy,Mathematics,Physics,Biology,Chemistry,Sociology,Economics,Political science,Linguistics,Computer science,History,Materials science,Engineering,Environmental science,Medicine
2006,10,9,9,10,9,9,8,9,10,10,9,10,9,10,9,9,8,8
2007,9,9,8,10,9,8,8,9,10,9,9,10,8,9,8,8,8,8
2008,9,8,8,10,9,8,8,8,10,9,8,10,8,9,8,8,8,7
2009,9,8,8,10,9,8,7,8,9,9,8,10,8,9,8,7,8,7
2010,8,8,8,9,9,8,7,8,9,8,8,9,8,9,8,7,7,7
2011,8,8,7,9,8,8,7,8,9,8,8,9,8,8,7,7,7,6
2012,8,8,7,8,8,7,7,7,8,8,8,8,7,8,7,7,7,6
2013,7,7,7,8,7,7,7,7,8,7,7,8,7,7,7,7,7,6
2014,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6
2015,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
